col,dtype,n_miss,pct_miss,n_unique
purchase_id,int64,0,0.0,6734
customer_id,object,0,0.0,500
customer_date_of_birth,object,0,0.0,491
customer_gender,object,1445,21.46,2
customer_signup_date,object,0,0.0,404
item_id,object,0,0.0,375
item_title,object,0,0.0,216
item_category,object,0,0.0,10
item_price,float64,0,0.0,374
item_img_filename,object,0,0.0,8
item_avg_rating,float64,6,0.09,99
item_num_ratings,int64,0,0.0,77
item_release_date,object,0,0.0,301
purchase_timestamp,datetime64[ns],0,0.0,964
customer_item_views,int64,0,0.0,15
purchase_item_rating,float64,5307,78.81,7
purchase_device,object,0,0.0,2
label,int64,0,0.0,1
